,raw_name,label,pre_class_win0,pre_class_win1,pre_class_win2,pre_class_win3,pre_class_win4,pre_class_win5,pre_class_win6,pre_class_win7,pre_class_win8,pre_class_win9,pre_class_win10,pre_class_win11,pre_class_win12,pre_class_win13,pre_class_win14,pre_class_win15,pre_class_win16,pre_class_win17,pre_class_win18,pre_class_win19,pre_class_win20,pre_class_win21,pre_class_win22,pre_class_win23,pre_class_win24,pre_prob_win0,pre_prob_win1,pre_prob_win2,pre_prob_win3,pre_prob_win4,pre_prob_win5,pre_prob_win6,pre_prob_win7,pre_prob_win8,pre_prob_win9,pre_prob_win10,pre_prob_win11,pre_prob_win12,pre_prob_win13,pre_prob_win14,pre_prob_win15,pre_prob_win16,pre_prob_win17,pre_prob_win18,pre_prob_win19,pre_prob_win20,pre_prob_win21,pre_prob_win22,pre_prob_win23,pre_prob_win24,label
30,B20180720sunyt_TPD_DIA_b77_12_1_350_1800_M,M,Malignant,Benign,Malignant,Benign,Benign,Malignant,Benign,Malignant,Benign,Benign,Benign,Malignant,Benign,Benign,Malignant,Malignant,Benign,Malignant,Benign,Malignant,Malignant,Benign,Malignant,Malignant,Malignant,0.98112893,0.13187265,0.5655055,0.416707,0.2889263,0.5416525,0.02216352,0.8338542,0.1415859,0.002019267,0.19253664,0.6484207,0.1497075,0.13912457,0.6809615,0.7433193,0.49804989,0.6747409,0.0389379,0.99965525,0.82264423,0.19953138,0.9996717,0.99724066,0.9991007,1
31,C20180918sunyt_TPD_DIA_vb2_12_1_350_1800_B,B,Benign,Malignant,Benign,Benign,Malignant,Malignant,Malignant,Benign,Benign,Benign,Malignant,Benign,Malignant,Benign,Malignant,Benign,Malignant,Benign,Malignant,Benign,Benign,Benign,Malignant,Benign,Benign,0.13311563,0.79815006,0.2970505,0.21335615,0.986631,0.6189913,0.81796217,0.45520723,0.015605285,0.37022445,0.71807474,0.026889475,0.6634366,0.12776558,0.8760154,0.061528802,0.82168937,0.2070812,0.5286683,2.93E-05,0.001149628,0.48918086,0.99730206,0.11405014,0.017734986,0
32,B20181009sunyt_TPD_DIA_vb37_1_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000999798,0.031284653,0.1341423,0.16868019,2.42E-06,0.46582273,8.10E-05,0.29666415,0.01964073,1.71E-05,0.004937463,2.23E-05,0.001878311,0.001770675,0.000553582,0.014967454,0.4705251,0.047229454,0.1987167,1.62E-05,0.000116544,0.010080185,5.87E-06,2.01E-05,0.16829659,0
33,C20180923sunyt_TPD_DIA_vb10_7_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.007761609,0.07986975,0.2580527,0.23345572,0.000126516,0.11135129,0.000705527,0.1374919,0.0431377,1.37E-05,0.07649239,0.000786689,0.010869084,0.006702051,0.000383288,0.15160136,0.36312026,0.039062288,0.11253237,0.00010303,0.000194728,0.000777662,5.78E-05,0.005840927,7.82E-05,0
34,B20180925sunyt_TPD_DIA_vb9_4_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Malignant,Benign,0.001256951,0.19284493,0.2199241,0.21986234,2.97E-06,0.19479752,0.00018745,0.49471936,0.002840205,0.000136166,0.010956673,0.000574813,0.000414717,0.09225757,7.00E-05,0.001392503,0.3266484,0.016102353,0.004448616,0.017011046,0.001084711,0.007656377,0.99993837,0.9472269,0.14931609,0
35,C20181006sunyt_TPD_DIA_vb36_15_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000221799,0.1145755,0.099987976,0.09441975,1.71E-05,0.120446466,0.00028391,0.046853025,0.006668713,0.000100854,0.016346015,0.30461305,0.000421065,0.017608497,0.008951481,0.2462082,0.15346101,0.06040148,0.09055759,0.015406705,0.005205137,0.016803268,6.76E-06,1.03E-05,6.68E-06,0
36,B20180616sunyt_TPD_DIA_b45_12_1_350_1800_B,B,Malignant,Malignant,Malignant,Malignant,Benign,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Benign,Malignant,Benign,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,0.6029042,0.7746836,0.771041,0.7669113,0.04257221,0.8277795,0.78250694,0.9375843,0.9937383,0.99905914,0.98474485,0.9981329,0.9999746,0.9483711,0.9998342,0.049525708,0.9541321,0.21883038,0.99631506,0.9979482,0.9566627,0.9967229,0.9999802,0.99977726,0.9997067,0
37,C20180917sunyt_TPD_DIA_vb1_14_1_350_1800_M,M,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Malignant,Malignant,0.5057086,0.1433588,0.19799238,0.20677231,0.00539257,0.47163895,0.001019302,0.20051582,0.038136065,0.000256288,0.6023816,0.000724974,0.002429491,0.32874385,0.002003585,0.086031854,0.4132257,0.38255665,0.60991687,0.012944133,0.000777867,0.005634122,6.04E-05,0.8823714,0.99772173,1
38,B20180813sunyt_TPD_DIA_b59_11_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.00042508,0.01648175,0.041343044,0.029259397,1.71E-05,0.03385826,0.002822173,0.045876794,0.015642071,2.02E-05,0.001726953,1.18E-05,2.07E-05,0.000944159,1.20E-05,0.002920084,0.043066587,0.00633597,0.001694424,9.53E-06,2.85E-05,0.000380851,1.81E-06,2.72E-05,1.92E-05,0
39,B20180901sunyt_TPD_DIA_b72_1_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000104159,0.013046547,0.02868745,0.033166222,6.09E-06,0.013226295,6.64E-05,0.003916985,0.000768164,1.23E-05,0.001485635,2.26E-05,5.14E-05,0.001371194,0.000196693,0.007277858,0.042680737,0.007172555,0.000664599,2.56E-05,1.21E-05,0.000298517,2.56E-05,4.63E-06,7.18E-06,0
